meal_id,name,description,cuisines,calories,price,premium_fee,meat_type,chef_id,chef_name,is_celebrity_chef,rating,review_count,stock,in_stock,specifications,ingredients,url,image_url,image_path,category_id,feature,banner_pic,weight,warning,sidedish
8259,Grilled Jerk Shrimp Rasta Pasta,with Penne & Sautéed Bell Peppers,american,490,0.0,0.0,Shrimp,24569,Chris Massiah,False,4.3035,1427.0,178,True,High Protein|Less Than 600 calories|Pescatarian Diet|Spicy|Soy Free|Contains Nuts|Energy Boost,Black Pepper|Kosher Salt|Thyme|Habanero Peppers|Coconut Milk|Lime Juice|Green Onion|Canola and Olive Oil Blend|Garlic|Parmesan Cheese|Red Bell Pepper|Yellow Bell Pepper|Green Bell Pepper|Onion|Penne|Shrimp|Hot Jerk Sauce,https://www.cookunity.com/meals/massiah-grilled-jerk-shrimp-rasta-pasta,https://www.cookunity.com/meal-service/meals/3113/main_image/ID_Chris_Massiah_Grilled_jerk_shrimp_Rasta_pasta.jpg,,3,,https://www.cookunity.com/chef-service/chef-brands/2/medias/icons/chris-massiah.jpg,21,,
5839,Warming Falafel Bowl,"with Carrot Hummus, Yellow Rice & Slaw","european, mediterranean",1000,1.0,0.0,Vegan,80141,Lena Elkousy,False,4.3705,848.0,250,True,High Fat|Vegetarian|Vegan|Soy Free|Gluten Free|Dairy Free|Nut Free|Pescatarian Diet|Clean Eating,Organic Black Pepper|Organic Turmeric|Baking Soda|Maple Syrup|Aleppo Pepper| Organic Coriander|Garlic|Tahini Paste| Organic Cumin|Organic Parsley|Lemon Juice|Organic Cilantro|Extra Virgin Olive Oil|Organic Tahini|Onion|Chickpeas|Carrots|Himalayan Pink Salt|Canned Organic Chickpeas|Bay Leaf|Green Onion|Red Cabbage|Cabbage|Organic Apple Cider Vinegar|Jalapeno Peppers|Paprika|Basmati Rice,https://www.cookunity.com/meals/falafel-bowl,https://www.cookunity.com/meal-service/meals/1440/main_image/1440_Lena_Elkousy_Warming_Falafel_Bowl2055.jpg,,3,,https://www.cookunity.com/chef-service/chef-brands/15/medias/icons/lena-elkousy.jpg,21,,
8971,Pulled Pork Barbecue Sandwich,with Creamy Coleslaw ,american,570,0.0,0.0,Pork,190729,Pat LaFrieda,True,4.3365,749.0,274,True,High Protein|Less Than 600 calories|Nut Free|Great for Lunch,Himalayan Pink Salt|Brown Sugar|Kosher Salt|Black Pepper|White Wine Vinegar|Lemon Juice|Carrots|Sugar|Liquid Smoke|Onion|Worcestershire Sauce|Apple Cider Vinegar|Mayonnaise|Tomato Paste|BBQ Sauce|Potato Bread|Cabbage|Pork Shoulder,https://www.cookunity.com/meals/lafrieda-pulled-pork-barbecue-sandwich,https://www.cookunity.com/meal-service/meals/3642/main_image/3642_Pat_LaFrieda_Pulled_Pork_Sandwich_WB_001_lowres.jpg,,3,,https://www.cookunity.com/chef-service/chef-brands/49/medias/icons/pat-lafrieda.jpg,21,,
6361,JG's Adobo Chicken Mac n' Cheese,with Herbed Cheesy Breadcrumbs,american,870,1.0,0.0,Chicken,95787,Jose Garces,True,4.3395,1560.0,663,True,High Fat|High Protein|Contains Nuts,Nutmeg|Cumin|Sweet Paprika|Brown Sugar|Thyme|Black Pepper|Ancho Powder|Chives|Italian Parsley|Kosher Salt|American Cheese|All Purpose Flour|Panko Breadcrumbs|Mild Cheddar Cheese|Butter|Parmesan Cheese|Gruyere Cheese|Heavy Cream|Whole Milk|Chicken Breast|Cavatappi|Bay Leaf|Thyme|White Cheddar Cheese|Shallot|Allspice|Clove|Cayenne Powder|Espelette Pepper |Monosodium Glutamate|Cinnamon|Sugar|Cooking Spray|Nutritional Yeast|Garlic Powder,https://www.cookunity.com/meals/garces-chicken-mac-n-cheese,https://www.cookunity.com/media/catalog/product/cache/x1200/c/h/chicken.jpg,,3,,https://www.cookunity.com/chef-service/chef-brands/27/medias/icons/jose-garces.jpg,21,,
3564,Mom's Sunday Sauce Rigatoni,with Fennel Sausage & Meatballs,"european, italian",830,0.0,0.0,Pork,81256,John DeLucie,False,4.558,7942.0,729,True,High Fat|High Protein|Soy Free|Nut Free,"Black Pepper|Kosher Salt|Crushed Red Pepper|Italian Parsley|Basil|Garlic|Egg|Extra Virgin Olive Oil|Whole Milk|Ground Italian Sausage|Ground Beef|Ground Pork|Rigatoni|Veg, Tomatoes, Whole, Canned, Italian|American Grana Cheese|Panko Breadcrumbs|Parmesan Cheese|Onion|Canola and Olive Oil Blend",https://www.cookunity.com/meals/rigatoni-sunday-sauce,https://www.cookunity.com/media/catalog/product/cache/x1200/s/u/sunday_sauce_rigatoni_with_meatballs_-_3564.jpeg,,3,,https://www.cookunity.com/chef-service/chef-brands/31/medias/icons/john-delucie.jpg,20,,
9418,Vegetarian Sweet Corn Cachapas,with Black Beans & Fresh Mozzarella,latin-american,590,0.0,0.0,Vegetarian,95787,Jose Garces,True,4.5805,174.0,50,True,Less Than 600 calories|Vegetarian|Contains Nuts|Pescatarian Diet|Great for Lunch|Green Eating,Vegetable Base|Allspice|Clove|Ancho Powder|Cayenne Powder|Espelette Pepper |Cumin|Brown Sugar|Sweet Paprika|Cinnamon|Chipotle in Adobo|Baking Powder|Black Pepper|Monosodium Glutamate|Mozzarella Cheese|Cooking Spray|Butter|All Purpose Flour|Garlic|Canola and Olive Oil Blend|Lime Juice|Sugar|Onion|Red Bell Pepper|Kosher Salt|Crimini Mushroom|Egg|Kale|Poblano Peppers |Avocado|Cilantro|Instant Corn Flour|Mayonnaise|Butternut Squash|Canned Black Beans|Corn|Whole Milk|Mozzarella Cheese,https://www.cookunity.com/meals/garces-vegetarian-sweet-corn-cachapas,https://www.cookunity.com/meal-service/meals/4347/main_image/ID_Jose_Garces_Vegetarian_Sweet_Corn_Chapas_0059.jpg,,3,,https://www.cookunity.com/chef-service/chef-brands/27/medias/icons/jose-garces.jpg,20,,
8939,Scallion-Butter Grilled Branzino,with Creamed Spinach & Lentils,"european, italian",790,0.0,2.99,Fish,1148525,BK Prime,False,4.566,258.0,301,True,Pescatarian Diet|Low Carbs|High Protein|Soy Free|Gluten Free|Nut Free|Fine Dining,Bay Leaf|Black Pepper|Lemon Zest|Onion|White Wine|Kosher Salt|Chives|Italian Parsley|Rosemary|Shallot|Thyme|Cream Cheese|Garlic|Green Onion|Parmesan Cheese|Carrots|Canola Oil|Onion|Green Lentils|Heavy Cream|Butter|Leeks|Spinach|Branzino,https://www.cookunity.com/meals/prime-scallion-butter-grilled-branzino,https://www.cookunity.com/meal-service/meals/4362/main_image/Chris-Ratel_Grilled-Branzino-w-Charred-Scallion-Pesto-Creamed-Lentils_WB_1548.jpg,,3,,https://www.cookunity.com/chef-service/chef-brands/144/medias/icons/BK%20Prime%20Logo.png,19,,
5123,Griddled Tofu Scallion Noodles,with Squash Medley & Carrots,asian,920,13.3,0.0,Vegan,193982,Yong Zhao & Wanting Zhang,False,4.2955,1262.0,422,True,High Fat|High Protein|Vegan|Vegetarian|Dairy Free|Nut Free|Pescatarian Diet,Szechuan Pepper|White Pepper|Cumin|Kosher Salt|Red Onion|Pickled Jalapeno Peppers|Garlic|Ginger|Green Onion|Canola and Olive Oil Blend|Canola Oil|Black Vinegar|Furu Tofu|Sugar|Gluten Free Tamari|Carrots|Yellow Squash|Zucchini|Spring Noodles|Tofu|Bay Leaf|Cinnamon Stick|Star Anise|Light Soy Sauce|Black Pepper|Granulated Garlic|Sichuan Pepper Corn Oil|Light Brown Sugar,https://www.cookunity.com/meals/griddled-tofu-with-scallion-noodles,https://www.cookunity.com/media/catalog/product/cache/x1200/j/u/junzi-griddled-tofu-scallion-noodles.jpeg,,3,,https://www.cookunity.com/chef-service/chef-brands/52/medias/icons/yong-zhao-&-wanting-zhang.jpg,11,,
8923,Soy-Ginger Roasted Chicken,with Wonton Noodles & Bok Choy,"asian, thai",820,0.0,0.0,Chicken,831504,Hong Thaimee,False,4.318,503.0,406,True,High Protein|Dairy Free|Nut Free,Kosher Salt|Thai Green Peppers|Thai Red Peppers|Garlic|Cilantro|Green Onion|White Vinegar|Canola and Olive Oil Blend|Lime Juice|Ginger|Cane Sugar|Sugar|Pad Kee Mao Sauce|Soy Sauce|Sunflower Oil|Hong Kong style Noodles|Bok Choy|Chicken Thigh,https://www.cookunity.com/meals/thaimee-soy-ginger-roasted-chicken,https://www.cookunity.com/meal-service/meals/3920/main_image/3920_hong-thaimee_soy-ginger-roasted-chicken-with-wonton-noodles_wb.jpg,,3,,https://www.cookunity.com/chef-service/chef-brands/100/medias/icons/1697728332182-ICON.jpeg,11,,
9567,Classic Mushroom Pot Pie,with Puff Pastry Crust,american,740,0.0,0.0,Vegetarian,78459,Larry and Marc Forgione,True,4.546,152.0,257,True,Vegetarian|Nut Free|Pescatarian Diet,Kosher Salt|Black Pepper|Canola Oil|Vegetable Base|All Purpose Flour|Heavy Cream|Carrots|Red Onion|Broccoli |Butter|Corn|Crimini Mushroom|Egg|Puff Pastry,https://www.cookunity.com/meals/forgione-classic-mushroom-pot-pie,https://www.cookunity.com/meal-service/meals/4382/main_image/mush-pot-pie.jpg,,3,,https://www.cookunity.com/chef-service/chef-brands/25/medias/icons/larry-and-marc-forgione.jpg,11,,
7325,Chicken Tinga Empanadas,with Polenta & Chipotle Mayo,"latin-american, mexican",1000,0.0,0.0,Chicken,187717,Santiago Lopez,False,4.4205,602.0,393,True,High Protein|Nut Free|Great for Lunch,Bay Leaf|Oregano|Sugar|Garlic Powder|Onion Powder|Canola Oil|Kosher Salt|Chicken Base|White Vinegar|Parmesan Cheese|Garlic|Butter|Onion|Red Onion|Chipotle in Adobo|Canned Tomato|Mozzarella Cheese|Empanada Dough|Mayonnaise|Chicken Thigh|Polenta|White Cheddar Cheese|Whole Milk|Beet,https://www.cookunity.com/meals/lopez-chicken-tinga-empanadas,https://www.cookunity.com/meal-service/meals/2355/main_image/768o27l3.bmp,,3,,https://www.cookunity.com/chef-service/chef-brands/50/medias/icons/santiago-lopez.jpg,11,,
